%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
963F ; [.4e01.0000.0007.963F] % °¢
554A ; [.4e02.0000.0007.554A] % °¡
9515 ; [.4e03.0000.0007.9515] % ï¹
54CE ; [.4e04.0000.0007.54CE] % °¥
54C0 ; [.4e05.0000.0007.54C0] % °§
5509 ; [.4e06.0000.0007.5509] % °¦
57C3 ; [.4e07.0000.0007.57C3] % °£
6328 ; [.4e08.0000.0007.6328] % °¤
953F ; [.4e09.0000.0007.953F] % ïÍ
6371 ; [.4e0a.0000.0007.6371] % Þß
7691 ; [.4e0b.0000.0007.7691] % °¨
764C ; [.4e0c.0000.0007.764C] % °©
55F3 ; [.4e0d.0000.0007.55F3] % àÈ
77EE ; [.4e0e.0000.0007.77EE] % °«
853C ; [.4e0f.0000.0007.853C] % °ª
972D ; [.4e10.0000.0007.972D] % ö°
827E ; [.4e11.0000.0007.827E] % °¬
7231 ; [.4e12.0000.0007.7231] % °®
7839 ; [.4e13.0000.0007.7839] % íÁ
9698 ; [.4e14.0000.0007.9698] % °¯
55CC ; [.4e15.0000.0007.55CC] % àÉ
5AD2 ; [.4e16.0000.0007.5AD2] % æÈ
788D ; [.4e17.0000.0007.788D] % °­
66A7 ; [.4e18.0000.0007.66A7] % êÓ
7477 ; [.4e19.0000.0007.7477] % è¨
5B89 ; [.4e1a.0000.0007.5B89] % °²
6849 ; [.4e1b.0000.0007.6849] % èñ
6C28 ; [.4e1c.0000.0007.6C28] % °±
5EB5 ; [.4e1d.0000.0007.5EB5] % âÖ
8C19 ; [.4e1e.0000.0007.8C19] % ÚÏ
9E4C ; [.4e1f.0000.0007.9E4C] % ðÆ
978D ; [.4e20.0000.0007.978D] % °°
4FFA ; [.4e21.0000.0007.4FFA] % °³
57EF ; [.4e22.0000.0007.57EF] % Ûû
94F5 ; [.4e23.0000.0007.94F5] % ï§
63DE ; [.4e24.0000.0007.63DE] % Þî
72B4 ; [.4e25.0000.0007.72B4] % áí
5CB8 ; [.4e26.0000.0007.5CB8] % °¶
6309 ; [.4e27.0000.0007.6309] % °´
6848 ; [.4e28.0000.0007.6848] % °¸
80FA ; [.4e29.0000.0007.80FA] % °·
6697 ; [.4e2a.0000.0007.6697] % °µ
9EEF ; [.4e2b.0000.0007.9EEF] % ÷ö
80AE ; [.4e2c.0000.0007.80AE] % °¹
6602 ; [.4e2d.0000.0007.6602] % °º
76CE ; [.4e2e.0000.0007.76CE] % °»
51F9 ; [.4e2f.0000.0007.51F9] % °¼
71AC ; [.4e30.0000.0007.71AC] % °¾
6556 ; [.4e31.0000.0007.6556] % °½
55F7 ; [.4e32.0000.0007.55F7] % à»
5ED2 ; [.4e33.0000.0007.5ED2] % âÚ
7352 ; [.4e34.0000.0007.7352] % éá
9068 ; [.4e35.0000.0007.9068] % åÛ
7FF1 ; [.4e36.0000.0007.7FF1] % °¿
8071 ; [.4e37.0000.0007.8071] % ñú
87AF ; [.4e38.0000.0007.87AF] % òü
9CCC ; [.4e39.0000.0007.9CCC] % ÷¡
93D6 ; [.4e3a.0000.0007.93D6] % ÷é
9A9C ; [.4e3b.0000.0007.9A9C] % æñ
8884 ; [.4e3c.0000.0007.8884] % °À
5AAA ; [.4e3d.0000.0007.5AAA] % æÁ
8279 ; [.4e3e.0000.0007.8279] % Ü³
5773 ; [.4e3f.0000.0007.5773] % Ûê
5C99 ; [.4e40.0000.0007.5C99] % á®
50B2 ; [.4e41.0000.0007.50B2] % °Á
5965 ; [.4e42.0000.0007.5965] % °Â
6FB3 ; [.4e43.0000.0007.6FB3] % °Ä
61CA ; [.4e44.0000.0007.61CA] % °Ã
93CA ; [.4e45.0000.0007.93CA] % öË
516B ; [.4e46.0000.0007.516B] % °Ë
5DF4 ; [.4e47.0000.0007.5DF4] % °Í
53ED ; [.4e48.0000.0007.53ED] % °È
6252 ; [.4e49.0000.0007.6252] % °Ç
5427 ; [.4e4a.0000.0007.5427] % °É
5C9C ; [.4e4b.0000.0007.5C9C] % á±
82AD ; [.4e4c.0000.0007.82AD] % °Å
75A4 ; [.4e4d.0000.0007.75A4] % °Ì
634C ; [.4e4e.0000.0007.634C] % °Æ
7B06 ; [.4e4f.0000.0007.7B06] % °Ê
7C91 ; [.4e50.0000.0007.7C91] % ôÎ
62D4 ; [.4e51.0000.0007.62D4] % °Î
8307 ; [.4e52.0000.0007.8307] % ÜØ
83DD ; [.4e53.0000.0007.83DD] % ÝÃ
8DCB ; [.4e54.0000.0007.8DCB] % °Ï
9B43 ; [.4e55.0000.0007.9B43] % ÷É
628A ; [.4e56.0000.0007.628A] % °Ñ
94AF ; [.4e57.0000.0007.94AF] % îÙ
9776 ; [.4e58.0000.0007.9776] % °Ð
575D ; [.4e59.0000.0007.575D] % °Ó
7238 ; [.4e5a.0000.0007.7238] % °Ö
7F62 ; [.4e5b.0000.0007.7F62] % °Õ
9C85 ; [.4e5c.0000.0007.9C85] % öÑ
9738 ; [.4e5d.0000.0007.9738] % °Ô
705E ; [.4e5e.0000.0007.705E] % å±
63B0 ; [.4e5f.0000.0007.63B0] % êþ
62DC ; [.4e60.0000.0007.62DC] % °Ý
767D ; [.4e61.0000.0007.767D] % °×
767E ; [.4e62.0000.0007.767E] % °Ù
4F70 ; [.4e63.0000.0007.4F70] % °Û
67CF ; [.4e64.0000.0007.67CF] % °Ø
636D ; [.4e65.0000.0007.636D] % Þã
6446 ; [.4e66.0000.0007.6446] % °Ú
8D25 ; [.4e67.0000.0007.8D25] % °Ü
7A17 ; [.4e68.0000.0007.7A17] % °Þ
6273 ; [.4e69.0000.0007.6273] % °â
73ED ; [.4e6a.0000.0007.73ED] % °à
822C ; [.4e6b.0000.0007.822C] % °ã
9881 ; [.4e6c.0000.0007.9881] % °ä
6591 ; [.4e6d.0000.0007.6591] % °ß
642C ; [.4e6e.0000.0007.642C] % °á
7622 ; [.4e6f.0000.0007.7622] % ñ£
764D ; [.4e70.0000.0007.764D] % ñ­
962A ; [.4e71.0000.0007.962A] % Úæ
5742 ; [.4e72.0000.0007.5742] % Ûà
677F ; [.4e73.0000.0007.677F] % °å
7248 ; [.4e74.0000.0007.7248] % °æ
94A3 ; [.4e75.0000.0007.94A3] % îÓ
8228 ; [.4e76.0000.0007.8228] % ô²
529E ; [.4e77.0000.0007.529E] % °ì
534A ; [.4e78.0000.0007.534A] % °ë
4F34 ; [.4e79.0000.0007.4F34] % °é
626E ; [.4e7a.0000.0007.626E] % °ç
62CC ; [.4e7b.0000.0007.62CC] % °è
7ECA ; [.4e7c.0000.0007.7ECA] % °í
74E3 ; [.4e7d.0000.0007.74E3] % °ê
90A6 ; [.4e7e.0000.0007.90A6] % °î
5E2E ; [.4e7f.0000.0007.5E2E] % °ï
6886 ; [.4e80.0000.0007.6886] % °ð
6D5C ; [.4e81.0000.0007.6D5C] % äº
868C ; [.4e82.0000.0007.868C] % °ö
7ED1 ; [.4e83.0000.0007.7ED1] % °ó
699C ; [.4e84.0000.0007.699C] % °ñ
8180 ; [.4e85.0000.0007.8180] % °ò
508D ; [.4e86.0000.0007.508D] % °ø
68D2 ; [.4e87.0000.0007.68D2] % °ô
8C24 ; [.4e88.0000.0007.8C24] % °ù
84A1 ; [.4e89.0000.0007.84A1] % Ýò
78C5 ; [.4e8a.0000.0007.78C5] % °õ
9551 ; [.4e8b.0000.0007.9551] % °÷
52F9 ; [.4e8c.0000.0007.52F9] % Ùè
5305 ; [.4e8d.0000.0007.5305] % °ü
5B62 ; [.4e8e.0000.0007.5B62] % æß
82DE ; [.4e8f.0000.0007.82DE] % °ú
80DE ; [.4e90.0000.0007.80DE] % °û
7172 ; [.4e91.0000.0007.7172] % ìÒ
9F85 ; [.4e92.0000.0007.9F85] % öµ
96F9 ; [.4e93.0000.0007.96F9] % ±¢
8912 ; [.4e94.0000.0007.8912] % °ý
5B9D ; [.4e95.0000.0007.5B9D] % ±¦
9971 ; [.4e96.0000.0007.9971] % ±¥
4FDD ; [.4e97.0000.0007.4FDD] % ±£
9E28 ; [.4e98.0000.0007.9E28] % ð±
5821 ; [.4e99.0000.0007.5821] % ±¤
8446 ; [.4e9a.0000.0007.8446] % Ýá
8913 ; [.4e9b.0000.0007.8913] % ñÙ
62A5 ; [.4e9c.0000.0007.62A5] % ±¨
62B1 ; [.4e9d.0000.0007.62B1] % ±§
8C79 ; [.4e9e.0000.0007.8C79] % ±ª
8DB5 ; [.4e9f.0000.0007.8DB5] % õÀ
9C8D ; [.4ea0.0000.0007.9C8D] % ±«
66B4 ; [.4ea1.0000.0007.66B4] % ±©
7206 ; [.4ea2.0000.0007.7206] % ±¬
66DD ; [.4ea3.0000.0007.66DD] % ÆØ
9642 ; [.4ea4.0000.0007.9642] % Úé
5351 ; [.4ea5.0000.0007.5351] % ±°
676F ; [.4ea6.0000.0007.676F] % ±­
60B2 ; [.4ea7.0000.0007.60B2] % ±¯
7891 ; [.4ea8.0000.0007.7891] % ±®
9E4E ; [.4ea9.0000.0007.9E4E] % ðÇ
5EB3 ; [.4eaa.0000.0007.5EB3] % âØ
5317 ; [.4eab.0000.0007.5317] % ±±
8D1D ; [.4eac.0000.0007.8D1D] % ±´
72C8 ; [.4ead.0000.0007.72C8] % ±·
90B6 ; [.4eae.0000.0007.90B6] % Úý
5907 ; [.4eaf.0000.0007.5907] % ±¸
80CC ; [.4eb0.0000.0007.80CC] % ±³
94A1 ; [.4eb1.0000.0007.94A1] % ±µ
500D ; [.4eb2.0000.0007.500D] % ±¶
6096 ; [.4eb3.0000.0007.6096] % ã£
88AB ; [.4eb4.0000.0007.88AB] % ±»
60EB ; [.4eb5.0000.0007.60EB] % ±¹
7119 ; [.4eb6.0000.0007.7119] % ±º
8F88 ; [.4eb7.0000.0007.8F88] % ±²
789A ; [.4eb8.0000.0007.789A] % íÕ
84D3 ; [.4eb9.0000.0007.84D3] % Ýí
8919 ; [.4eba.0000.0007.8919] % ñØ
97B4 ; [.4ebb.0000.0007.97B4] % ÷¹
943E ; [.4ebc.0000.0007.943E] % öÍ
5B5B ; [.4ebd.0000.0007.5B5B] % ØÃ
5457 ; [.4ebe.0000.0007.5457] % ßÂ
5954 ; [.4ebf.0000.0007.5954] % ±¼
8D32 ; [.4ec0.0000.0007.8D32] % êÚ
951B ; [.4ec1.0000.0007.951B] % ï¼
672C ; [.4ec2.0000.0007.672C] % ±¾
82EF ; [.4ec3.0000.0007.82EF] % ±½
755A ; [.4ec4.0000.0007.755A] % ÛÎ
574C ; [.4ec5.0000.0007.574C] % ÛÐ
7B28 ; [.4ec6.0000.0007.7B28] % ±¿
5D29 ; [.4ec7.0000.0007.5D29] % ±À
7EF7 ; [.4ec8.0000.0007.7EF7] % ±Á
5623 ; [.4ec9.0000.0007.5623] % àÔ
752D ; [.4eca.0000.0007.752D] % ±Â
6CF5 ; [.4ecb.0000.0007.6CF5] % ±Ã
8FF8 ; [.4ecc.0000.0007.8FF8] % ±Å
750F ; [.4ecd.0000.0007.750F] % ê´
8E66 ; [.4ece.0000.0007.8E66] % ±Ä
903C ; [.4ecf.0000.0007.903C] % ±Æ
8378 ; [.4ed0.0000.0007.8378] % Ý©
9F3B ; [.4ed1.0000.0007.9F3B] % ±Ç
5315 ; [.4ed2.0000.0007.5315] % Ø°
6BD4 ; [.4ed3.0000.0007.6BD4] % ±È
5421 ; [.4ed4.0000.0007.5421] % ßÁ
59A3 ; [.4ed5.0000.0007.59A3] % åþ
5F7C ; [.4ed6.0000.0007.5F7C] % ±Ë
79D5 ; [.4ed7.0000.0007.79D5] % ïõ
4FFE ; [.4ed8.0000.0007.4FFE] % ÙÂ
7B14 ; [.4ed9.0000.0007.7B14] % ±Ê
