%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
4E00 ; [.4E01.0000.0007.4E00] % “ª
4E59 ; [.4E02.0000.0007.4E59] % ““
4E01 ; [.4E03.0000.0007.4E01] % ∂°
4E03 ; [.4E04.0000.0007.4E03] % ∆ﬂ
4E42 ; [.4E05.0000.0007.4E42] % ÅV
4E43 ; [.4E06.0000.0007.4E43] % ƒÀ
4E5C ; [.4E07.0000.0007.4E5C] % ÿø
4E5D ; [.4E08.0000.0007.4E5D] % æ≈
4E86 ; [.4E09.0000.0007.4E86] % ¡À
4E8C ; [.4E0A.0000.0007.4E8C] % ∂˛
4EBA ; [.4E0B.0000.0007.4EBA] % »À
513F ; [.4E0C.0000.0007.513F] % ∂˘
5165 ; [.4E0D.0000.0007.5165] % »Î
516B ; [.4E0E.0000.0007.516B] % ∞À
51E0 ; [.4E0F.0000.0007.51E0] % º∏
51F5 ; [.4E10.0000.0007.51F5] % €…
5200 ; [.4E11.0000.0007.5200] % µ∂
5201 ; [.4E12.0000.0007.5201] % µÛ
529B ; [.4E13.0000.0007.529B] % ¡¶
5315 ; [.4E14.0000.0007.5315] % ÿ∞
531A ; [.4E15.0000.0007.531A] % ÿŒ
5341 ; [.4E16.0000.0007.5341] %  Æ
535C ; [.4E17.0000.0007.535C] % ≤∑
5382 ; [.4E18.0000.0007.5382] % ≥ß
53C8 ; [.4E19.0000.0007.53C8] % ”÷
4E07 ; [.4E1A.0000.0007.4E07] % ÕÚ
4E08 ; [.4E1B.0000.0007.4E08] % ’…
4E09 ; [.4E1C.0000.0007.4E09] % »˝
4E0A ; [.4E1D.0000.0007.4E0A] % …œ
4E0B ; [.4E1E.0000.0007.4E0B] % œ¬
4E0C ; [.4E1F.0000.0007.4E0C] % ÿ¢
4E2B ; [.4E20.0000.0007.4E2B] % —æ
4E38 ; [.4E21.0000.0007.4E38] % ÕË
4E45 ; [.4E22.0000.0007.4E45] % æ√
4E47 ; [.4E23.0000.0007.4E47] % ÿ±
4E48 ; [.4E24.0000.0007.4E48] % √¥
4E5E ; [.4E25.0000.0007.4E5E] % ∆Ú
4E5F ; [.4E26.0000.0007.4E5F] % “≤
4E8D ; [.4E27.0000.0007.4E8D] % ÿ°
4E8E ; [.4E28.0000.0007.4E8E] % ”⁄
4EA1 ; [.4E29.0000.0007.4EA1] % Õˆ
5140 ; [.4E2A.0000.0007.5140] % ÿ£
51E1 ; [.4E2B.0000.0007.51E1] % ∑≤
5203 ; [.4E2C.0000.0007.5203] % »–
52FA ; [.4E2D.0000.0007.52FA] % …◊
5343 ; [.4E2E.0000.0007.5343] % «ß
53C9 ; [.4E2F.0000.0007.53C9] % ≤Ê
53E3 ; [.4E30.0000.0007.53E3] % ø⁄
56D7 ; [.4E31.0000.0007.56D7] % ‡Ì
571F ; [.4E32.0000.0007.571F] % Õ¡
58EB ; [.4E33.0000.0007.58EB] %  ø
5915 ; [.4E34.0000.0007.5915] % œ¶
5927 ; [.4E35.0000.0007.5927] % ¥Û
5973 ; [.4E36.0000.0007.5973] % ≈Æ
5B50 ; [.4E37.0000.0007.5B50] % ◊”
5B51 ; [.4E38.0000.0007.5B51] % Ê›
5B53 ; [.4E39.0000.0007.5B53] % Êﬁ
5BF8 ; [.4E3A.0000.0007.5BF8] % ¥Á
5C0F ; [.4E3B.0000.0007.5C0F] % –°
5C22 ; [.4E3C.0000.0007.5C22] % ﬁÃ
5C38 ; [.4E3D.0000.0007.5C38] %  ¨
5C6E ; [.4E3E.0000.0007.5C6E] % Â¯
5C71 ; [.4E3F.0000.0007.5C71] % …Ω
5DDD ; [.4E40.0000.0007.5DDD] % ¥®
5DE5 ; [.4E41.0000.0007.5DE5] % π§
5DF1 ; [.4E42.0000.0007.5DF1] % º∫
5DF2 ; [.4E43.0000.0007.5DF2] % “—
5DF3 ; [.4E44.0000.0007.5DF3] % À»
5DFE ; [.4E45.0000.0007.5DFE] % ΩÌ
5E72 ; [.4E46.0000.0007.5E72] % ∏…
5EFE ; [.4E47.0000.0007.5EFE] % ﬁ√
5F0B ; [.4E48.0000.0007.5F0B] % ﬂÆ
5F13 ; [.4E49.0000.0007.5F13] % π≠
5F73 ; [.4E4A.0000.0007.5F73] % ·‹
624D ; [.4E4B.0000.0007.624D] % ≤≈
FA0C ; [.4E4C.0000.0007.FA0C] % ˛@
4E0D ; [.4E4D.0000.0007.4E0D] % ≤ª
4E0E ; [.4E4E.0000.0007.4E0E] % ”Î
4E0F ; [.4E4F.0000.0007.4E0F] % ÅD
4E10 ; [.4E50.0000.0007.4E10] % ÿ§
4E11 ; [.4E51.0000.0007.4E11] % ≥Û
4E2D ; [.4E52.0000.0007.4E2D] % ÷–
4E2E ; [.4E53.0000.0007.4E2E] % ÅM
4E30 ; [.4E54.0000.0007.4E30] % ∑·
4E39 ; [.4E55.0000.0007.4E39] % µ§
4E4B ; [.4E56.0000.0007.4E4B] % ÷Æ
4E88 ; [.4E57.0000.0007.4E88] % ”Ë
4E91 ; [.4E58.0000.0007.4E91] % ‘∆
4E92 ; [.4E59.0000.0007.4E92] % ª•
4E93 ; [.4E5A.0000.0007.4E93] % ÿ¡
4E94 ; [.4E5B.0000.0007.4E94] % ŒÂ
4E95 ; [.4E5C.0000.0007.4E95] % æÆ
4EA2 ; [.4E5D.0000.0007.4EA2] % ø∫
4EC0 ; [.4E5E.0000.0007.4EC0] %  ≤
4EC1 ; [.4E5F.0000.0007.4EC1] % » 
4EC2 ; [.4E60.0000.0007.4EC2] % ÿÏ
4EC3 ; [.4E61.0000.0007.4EC3] % ÿÍ
4EC4 ; [.4E62.0000.0007.4EC4] % ÿ∆
4EC6 ; [.4E63.0000.0007.4EC6] % ∆Õ
4EC7 ; [.4E64.0000.0007.4EC7] % ≥
4EC8 ; [.4E65.0000.0007.4EC8] % Åî
4EC9 ; [.4E66.0000.0007.4EC9] % ÿÎ
4ECA ; [.4E67.0000.0007.4ECA] % ΩÒ
