%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
516B ; [.4E01.0000.0007.516B] % ∞À
4EC8 ; [.4E02.0000.0007.4EC8] % Åî
5DF4 ; [.4E03.0000.0007.5DF4] % ∞Õ
53ED ; [.4E04.0000.0007.53ED] % ∞»
6733 ; [.4E05.0000.0007.6733] % ñ[
82AD ; [.4E06.0000.0007.82AD] % ∞≈
75A4 ; [.4E07.0000.0007.75A4] % ∞Ã
634C ; [.4E08.0000.0007.634C] % ∞∆
7B06 ; [.4E09.0000.0007.7B06] % ∞ 
7C91 ; [.4E0A.0000.0007.7C91] % ÙŒ
8C5D ; [.4E0B.0000.0007.8C5D] % ÿ^
72AE ; [.4E0C.0000.0007.72AE] % †„
62D4 ; [.4E0D.0000.0007.62D4] % ∞Œ
8307 ; [.4E0E.0000.0007.8307] % ‹ÿ
80C8 ; [.4E0F.0000.0007.80C8] % √_
83DD ; [.4E10.0000.0007.83DD] % ›√
8A59 ; [.4E11.0000.0007.8A59] % ‘y
8DCB ; [.4E12.0000.0007.8DCB] % ∞œ
8EF7 ; [.4E13.0000.0007.8EF7] % ›R
9238 ; [.4E14.0000.0007.9238] % ‚ì
9B43 ; [.4E15.0000.0007.9B43] % ˜…
9F25 ; [.4E16.0000.0007.9F25] % ¸ñ
628A ; [.4E17.0000.0007.628A] % ∞—
9200 ; [.4E18.0000.0007.9200] % ‚Z
9776 ; [.4E19.0000.0007.9776] % ∞–
5F1D ; [.4E1A.0000.0007.5F1D] % èy
7238 ; [.4E1B.0000.0007.7238] % ∞÷
7308 ; [.4E1C.0000.0007.7308] % ™W
7F77 ; [.4E1D.0000.0007.7F77] % ¡T
9738 ; [.4E1E.0000.0007.9738] % ∞‘
58E9 ; [.4E1F.0000.0007.58E9] % âŒ
705E ; [.4E20.0000.0007.705E] % Â±
5427 ; [.4E21.0000.0007.5427] % ∞…
5CA5 ; [.4E22.0000.0007.5CA5] % å˚
67ED ; [.4E23.0000.0007.67ED] % ñ¬
73BB ; [.4E24.0000.0007.73BB] % ≤£
525D ; [.4E25.0000.0007.525D] % ÑÉ
7835 ; [.4E26.0000.0007.7835] % ≥j
889A ; [.4E27.0000.0007.889A] % –ì
5575 ; [.4E28.0000.0007.5575] % ‡£
7F3D ; [.4E29.0000.0007.7F3D] % ¿è
83E0 ; [.4E2A.0000.0007.83E0] % ≤§
7886 ; [.4E2B.0000.0007.7886] % ¥B
5D93 ; [.4E2C.0000.0007.5D93] % çÛ
64A5 ; [.4E2D.0000.0007.64A5] % ì‹
64AD ; [.4E2E.0000.0007.64AD] % ≤•
894F ; [.4E2F.0000.0007.894F] % “U
8E73 ; [.4E30.0000.0007.8E73] % ‹@
9C4D ; [.4E31.0000.0007.9C4D] % ˜Q
4F2F ; [.4E32.0000.0007.4F2F] % ≤Æ
5E1B ; [.4E33.0000.0007.5E1B] % ≤Ø
6CCA ; [.4E34.0000.0007.6CCA] % ≤¥
52C3 ; [.4E35.0000.0007.52C3] % ≤™
67CF ; [.4E36.0000.0007.67CF] % ∞ÿ
80C9 ; [.4E37.0000.0007.80C9] % √`
90E3 ; [.4E38.0000.0007.90E3] % ‡R
632C ; [.4E39.0000.0007.632C] % í©
6D61 ; [.4E3A.0000.0007.6D61] % õ¬
8378 ; [.4E3B.0000.0007.8378] % ›©
6872 ; [.4E3C.0000.0007.6872] % óK
8116 ; [.4E3D.0000.0007.8116] % ≤±
8236 ; [.4E3E.0000.0007.8236] % ≤∞
535A ; [.4E3F.0000.0007.535A] % ≤©
6E24 ; [.4E40.0000.0007.6E24] % ≤≥
8467 ; [.4E41.0000.0007.8467] % »ï
640F ; [.4E42.0000.0007.640F] % ≤´
733C ; [.4E43.0000.0007.733C] % ™t
9251 ; [.4E44.0000.0007.9251] % „K
50F0 ; [.4E45.0000.0007.50F0] % Ék
7B94 ; [.4E46.0000.0007.7B94] % ≤≠
818A ; [.4E47.0000.0007.818A] % ≤≤
8514 ; [.4E48.0000.0007.8514] %  N
8E04 ; [.4E49.0000.0007.8E04] % €Y
99C1 ; [.4E4A.0000.0007.99C1] % Òg
8E23 ; [.4E4B.0000.0007.8E23] % ı€
92CD ; [.4E4C.0000.0007.92CD] % ‰c
9911 ; [.4E4D.0000.0007.9911] % G
8584 ; [.4E4E.0000.0007.8584] % ±°
999E ; [.4E4F.0000.0007.999E] % ÒF
99EE ; [.4E50.0000.0007.99EE] % Òï
8B08 ; [.4E51.0000.0007.8B08] % ÷c
61EA ; [.4E52.0000.0007.61EA] % ë≈
7921 ; [.4E53.0000.0007.7921] % µR
7C19 ; [.4E54.0000.0007.7C19] % ∫~
939B ; [.4E55.0000.0007.939B] % Ên
993A ; [.4E56.0000.0007.993A] % o
9D53 ; [.4E57.0000.0007.9D53] % ˘P
7CEA ; [.4E58.0000.0007.7CEA] % º\
9AC6 ; [.4E59.0000.0007.9AC6] % Ûm
6B02 ; [.4E5A.0000.0007.6B02] % ôÿ
896E ; [.4E5B.0000.0007.896E] % “q
946E ; [.4E5C.0000.0007.946E] % Ë}
9E14 ; [.4E5D.0000.0007.9E14] % ˚Q
86BE ; [.4E5E.0000.0007.86BE] % Õo
8DDB ; [.4E5F.0000.0007.8DDB] % ıÀ
7C38 ; [.4E60.0000.0007.7C38] % Ù§
6300 ; [.4E61.0000.0007.6300] % íì
4EB3 ; [.4E62.0000.0007.4EB3] % ŸÒ
859C ; [.4E63.0000.0007.859C] % ﬁµ
