% compkeys-2.1.9d5.txt
% Created: 1999-Jun-06
% Posted:  1999-Jun-06
% Derived from: unidata-2.1.9d5.txt
% Sifter version: 2.8 1999-Jun-06
2.1.9d5 % version

203C ; [*021E.0020.0004.0021] [*021E.0020.0004.0021] % DOUBLE EXCLAMATION MARK; COMPATSEQ
2025 ; [*0226.0020.0004.002E] [*0226.0020.0004.002E] % TWO DOT LEADER; COMPATSEQ
2026 ; [*0226.0020.0004.002E] [*0226.0020.0004.002E] [*0226.0020.0004.002E] % HORIZONTAL ELLIPSIS; COMPATSEQ
FE30 ; [*0226.0020.0016.002E] [*0226.0020.0016.002E] % PRESENTATION FORM FOR VERTICAL TWO DOT LEADER; COMPATSEQ
2474 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT ONE; COMPATSEQ
247D ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06C5.0020.0004.0030] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER TEN; COMPATSEQ
247E ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06C6.0020.0004.0031] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER ELEVEN; COMPATSEQ
247F ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06C7.0020.0004.0032] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER TWELVE; COMPATSEQ
2480 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06C8.0020.0004.0033] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER THIRTEEN; COMPATSEQ
2481 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06C9.0020.0004.0034] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER FOURTEEN; COMPATSEQ
2482 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06CA.0020.0004.0035] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER FIFTEEN; COMPATSEQ
2483 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06CB.0020.0004.0036] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER SIXTEEN; COMPATSEQ
2484 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06CC.0020.0004.0037] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER SEVENTEEN; COMPATSEQ
2485 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06CD.0020.0004.0038] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER EIGHTEEN; COMPATSEQ
2486 ; [*023E.0020.0004.0028] [.06C6.0020.0004.0031] [.06CE.0020.0004.0039] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER NINETEEN; COMPATSEQ
2475 ; [*023E.0020.0004.0028] [.06C7.0020.0004.0032] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT TWO; COMPATSEQ
2487 ; [*023E.0020.0004.0028] [.06C7.0020.0004.0032] [.06C5.0020.0004.0030] [*023F.0020.0004.0029] % PARENTHESIZED NUMBER TWENTY; COMPATSEQ
2476 ; [*023E.0020.0004.0028] [.06C8.0020.0004.0033] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT THREE; COMPATSEQ
2477 ; [*023E.0020.0004.0028] [.06C9.0020.0004.0034] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT FOUR; COMPATSEQ
2478 ; [*023E.0020.0004.0028] [.06CA.0020.0004.0035] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT FIVE; COMPATSEQ
2479 ; [*023E.0020.0004.0028] [.06CB.0020.0004.0036] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT SIX; COMPATSEQ
247A ; [*023E.0020.0004.0028] [.06CC.0020.0004.0037] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT SEVEN; COMPATSEQ
247B ; [*023E.0020.0004.0028] [.06CD.0020.0004.0038] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT EIGHT; COMPATSEQ
247C ; [*023E.0020.0004.0028] [.06CE.0020.0004.0039] [*023F.0020.0004.0029] % PARENTHESIZED DIGIT NINE; COMPATSEQ
249C ; [*023E.0020.0004.0028] [.06CF.0020.0004.0061] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER A; COMPATSEQ
249D ; [*023E.0020.0004.0028] [.06E3.0020.0004.0062] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER B; COMPATSEQ
249E ; [*023E.0020.0004.0028] [.06F7.0020.0004.0063] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER C; COMPATSEQ
249F ; [*023E.0020.0004.0028] [.0703.0020.0004.0064] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER D; COMPATSEQ
24A0 ; [*023E.0020.0004.0028] [.071F.0020.0004.0065] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER E; COMPATSEQ
24A1 ; [*023E.0020.0004.0028] [.074B.0020.0004.0066] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER F; COMPATSEQ
24A2 ; [*023E.0020.0004.0028] [.0753.0020.0004.0067] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER G; COMPATSEQ
